Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > >::difference_type __gnu_cxx::operator-<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > >(__gnu_cxx::__normal_iterator<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > > const&, __gnu_cxx::__normal_iterator<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > > const&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::_M_check_len(unsigned int, char const*) const
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_M_allocate(unsigned int)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<ClubMember> >::deallocate(std::allocator<ClubMember>&, ClubMember*, unsigned int)
  0.00      0.00     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<ClubMember> >::allocate(std::allocator<ClubMember>&, unsigned int)
  0.00      0.00     0.00        4     0.00     0.00  void std::vector<ClubMember, std::allocator<ClubMember> >::_M_realloc_insert<ClubMember>(__gnu_cxx::__normal_iterator<ClubMember*, std::vector<ClubMember, std::allocator<ClubMember> > >, ClubMember&&)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::end()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<ClubMember, std::allocator<ClubMember> >::begin()
  0.00      0.00     0.00        3     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.00     0.00        3     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  Club::take_input()
  0.00      0.00     0.00        1     0.00     0.00  Club::kthPermutation(int, long long)
  0.00      0.00     0.00        1     0.00     0.00  Club::show_allotment()
  0.00      0.00     0.00        1     0.00     0.00  Club::kthPermutationUtil(std::vector<int, std::allocator<int> >&, std::vector<bool, std::allocator<bool> >&, int, int, long long)
  0.00      0.00     0.00        1     0.00     0.00  Club::Club()
  0.00      0.00     0.00        1     0.00     0.00  Club::~Club()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ClubMember>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<ClubMember>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Task>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Task>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Bit_iterator::operator+(int) const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<ClubMember>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<ClubMember>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<Task>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<Task>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<bool>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<bool>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<ClubMember, std::allocator<ClubMember> >::~_Vector_base()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Task, std::allocator<Task> >::_Vector_impl::~_Vector_impl()
